Id,Sites_GlobalID,SITE_NAME,Event_Id,Full_Date,Numeric_Date,Event_Type,Event_Mag,POINT_X,POINT_Y,Rel,Env_Eff,Env_Eff_Val,Env_Eff2,Category,Description,ESI_Val,ESI_Num,Order_Date
247,D10B0336-2D82-4E78-A1B2-A300A02903E7,Beirut,56,551 Jul 9,551.00000000,MA,7.50000000,35.48000000,33.89000000,Very High,SW,Sea waves,-1,Sea phenomena,damage: the Roman Law School,Unknown,-1.00000000,83
252,09252BEE-06F1-4C43-BC30-533B68813ED9,Batrun (Botrys),56,551 Jul 9,551.00000000,MA,7.50000000,35.64000000,34.25000000,Very High,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,83
264,8AB69AB8-D3B7-40A3-AF07-0ED9627CC7BE,S. Lebanease Coast (A),56,551 Jul 9,551.00000000,MA,7.50000000,35.30000000,33.32000000,Very High,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,83
312,298E6A51-CC52-4806-9266-8CE38BA95E52,Tiberias,71,749/Early 750,749.00000000,FM,7.20000000,35.54223594,32.78604531,Very High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,NULL,Unknown,-1.00000000,111
336,6D1AB72C-0556-4E22-9E22-59F1C64EFAE1,Al-Badan,97,1033 Dec 5 (night),1033.00000000,MA,6.80000000,35.31000000,32.25000000,High,LD,Landslides,-1,Slope Stability,A village near Nablus,Unknown,-1.00000000,138
337,85B2C229-F775-44F1-B9E6-97C368BAF9AE,Baniyas [IL],97,1033 Dec 5 (night),1033.00000000,MA,6.80000000,35.61000000,33.24000000,High,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,138
339,E0A3CC35-34B4-4C7A-99A6-8B69DCCFA2BF,Syria (A),97,1033 Dec 5 (night),1033.00000000,MA,6.80000000,37.03000000,34.93000000,High,GB,"Ground breakage, fissures",-1,Ground breakage,NULL,Unknown,-1.00000000,138
347,93F14479-704C-4AEB-A37C-0FE08F683F24,Akko,97,1033 Dec 5 (night),1033.00000000,MA,6.80000000,35.07000000,32.92000000,High,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,138
350,813FF560-7792-4F51-ACA0-D1BDB4DDF839,Sea of Gali,97,1033 Dec 5 (night),1033.00000000,MA,6.80000000,35.58000000,32.80000000,High,WO,"Overflow, watercourse changes",-1,Hydrologic phenomena’s,NULL,Unknown,-1.00000000,138
364,7276A02F-FB05-44FC-BED6-E589858C9B1A,Tabuk,104,1068 Mar 18,1068.00000000,MA,7.30000000,36.58000000,28.38000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs at al-Qur,Unknown,-1.00000000,148
