Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
93,613-622,613.00000000,5,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Syria,Syria (A),37.03000000,34.93000000,0,0,AM: the only source  is al-Suyuti (1445-1505 CE) that draws from previous sources (al-Bayhaqi),Secondary: al-Suyuti Kashf 4-5,AM;,Historical
94,631,631.00000000,-,Doubtful,U,1,Light,NULL,4.50000000,NULL,NULL,NULL,NULL,C,Palstine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
96,> 638,638.00000000,?,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,AM: An earthquake destructed Aleppo before its conquest by Abu Obeidah in 638.,"Secondary: Ibn Shaddad I/i.23; Mich. Syr. CH ii.419; Kemal al-Din (Ibn Habib, Durr. 31 ?????)",AM; GCT; KA; SDM;,Historical
97,643-644,643.00000000,1,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,0,AM: According to al-Suyuti,"Scondary: al-Suyuti Kashf 22, 23; al-maqdisi. Al-bad. Ii.36",AM;,Historical
100,706,706.00000000,1,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Sarin,Sarin,36.52000000,35.61000000,0,0,Violent earthquake in northern Syria. Reported by Michael the Syrian (12th century author). Sarin was damaged and many other sites (AM),NULL,AM,Historical
101,710,710.00000000,-,Doubtful,U,1,Light,NULL,4.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
113,765,765.00000000,NULL,Doubtful,U,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Bekaa,Bekaa (A),36.14000000,34.00000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
115,808,808.00000000,-,Doubtful,U,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
116,813-820,813.00000000,7,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,EAS,Constantinople,Istanbul,28.96000000,41.02000000,0,0,Incomplete two sources imply of possible event somewhere between 813 and 820 (GCT). AM claim the event had occurred in Constantinople in 815 CE,Secondary: Georg. Mon. PG 681/981; Ann. Reg. Franc. 202/143,AM; GCT;,Historical
117,835,835.00000000,1,Doubtful,C,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,1,Al-Suyuti probably duplicated the 713 event with this entry (AM; GCT),NULL,AM; GCT; SAL; SDM; GII,Historical
118,845,845.00000000,-,Doubtful,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
119,847 Nov 24,847.00000000,-,Poor,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,"Damascus, Homs",Damascus,36.29000000,33.51000000,0,1,"AM: Besides al-Suyuti, which is by far later to the event, all reports amalgamate the event with other events.","Secondary: al-Suyuti Kashf 25, 26; (Ibn al-Jauzi, K116, Seth. 83b ????)",AM; GCT; SAL; SDM;,Historical
120,850,850.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,"AM: Description is vague; could be the aftershock of the 847 event that, in turn, might be duplicated from previous Wasim/Mesopotamian events","Secondary: al-Tabbakh, A’lam, i. 201",AM;,Historical
121,853 Jun 12 - 854 Jun1,853.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C,Tiberias,Tiberias,35.54223594,32.78604531,0,1,Only single secondary source which uses unknown sources (AM; GCT). No correlation with seismites (KAG),Secondary: Ibn al-Jauzi; Ibn al-Imad; al-suyuti,AM; GCT; KA; SAL; SDM; GII; KAG,Historical
122,854,854.00000000,-,Doubtful,U,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
123,857,857.00000000,-,Doubtful,U,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
126,885 Nov,885.00000000,-,Doubtful,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,S,Red Sea (?),Nue'iba,34.67000000,28.99000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
127,950 Jul 26,950.00000000,-,Doubtful,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,SG,NULL,Suez,32.54000000,29.97000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
129,956 Jan 1,956.10000000,-,Doubtful,U,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Northern Syria,Antakya,36.16000000,36.20000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
130,956,956.20000000,-,Doubtful,U,1,Light,,4.50000000,NULL,NULL,NULL,NULL,S,Red Sea (?),Aqaba,35.00000000,29.52000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
132,974,974.00000000,-,Doubtful,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C-N,South Lebanon,Lebanon (A),35.87000000,33.84000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
136,1016 Aug 27,1016.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerualem,Jerusalem,35.23371042,31.77430227,0,1,AM: The Dome of the Rock in Jerusalem was allegedly damaged. However there are only secondary sources that do not mention spesificaly an earthquake.,Secondary: Ibn al-Jauzi (1114/5-1200) al Munt. 7/283; Ibn al-Athir. Ix. 209,AM; KA; GII,Historical
136,1016 Aug 27,1016.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerualem,Tiberias - Southern Gate,29.75160000,33.67970000,0,1,AM: The Dome of the Rock in Jerusalem was allegedly damaged. However there are only secondary sources that do not mention spesificaly an earthquake.,Secondary: Ibn al-Jauzi (1114/5-1200) al Munt. 7/283; Ibn al-Athir. Ix. 209,AM; KA; GII,Historical
137,1032/3 Mar 6,1032.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,EAS,Lebanon-Syria off coast (GII),East Mediterranean (A),34.12000000,34.07000000,0,1,"Could be the event allegedly occurred in Mar, 6 1033 in Constantinople (AM)",NULL,GII,Historical
